Period;Cost
2023T2;17.30
2023T1;15.79
2022T4;17.83
2022T3;16.63
2022T2;16.35
2022T1;15.17
2021T4;17.12
2021T3;16.13
2021T2;16.18
2021T1;15.11
2020T4;16.97
2020T3;16.16
2020T2;16.88
2020T1;14.65
2019T4;16.24
2019T3;15.52
2019T2;15.27
2019T1;13.99
2018T4;16.01
2018T3;15.20
2018T2;14.47
2018T1;14.04
2017T4;15.93
2017T3;14.83
2017T2;14.78
2017T1;13.50
2016T4;15.78
2016T3;14.90
2016T2;14.22
2016T1;14.13
2015T4;15.67
2015T3;14.87
2015T2;14.77
2015T1;13.67
2014T4;15.35
2014T3;14.90
2014T2;14.71
2014T1;13.39
2013T4;15.48
2013T3;14.86
2013T2;14.19
2013T1;13.63
2012T4;15.14
2012T3;14.85
2012T2;14.57
2012T1;13.39
2011T4;15.56
2011T3;14.81
2011T2;14.42
2011T1;13.19
2010T4;15.22
2010T3;14.17
2010T2;14.24
2010T1;13.17
2009T4;15.02
2009T3;14.30
2009T2;14.04
2009T1;12.80
2008T4;14.27
2008T3;13.76
2008T2;12.79
2008T1;12.50
