Gender;Eco_Sector;Age;Period;Total
Both;Total;Total;2023T3;21265.9
Both;Total;Total;2023T2;21056.7
Both;Total;Total;2023T1;20452.8
Both;Total;Total;2022T4;20463.9
Both;Total;Total;2022T3;20545.7
Both;Total;Total;2022T2;20468.0
Both;Total;Total;2022T1;20084.7
Both;Total;Total;2021T4;20184.9
Both;Total;Total;2021T3;20031.0
Both;Total;Total;2021T2;19671.7
Both;Total;Total;2021T1;19206.8
Both;Total;Total;2020T4;19344.3
Both;Total;Total;2020T3;19176.9
Both;Total;Total;2020T2;18607.2
Both;Total;Total;2020T1;19681.3
Both;Total;Total;2019T4;19966.9
Both;Total;Total;2019T3;19874.3
Both;Total;Total;2019T2;19804.9
Both;Total;Total;2019T1;19471.1
Both;Total;Total;2018T4;19564.6
Both;Total;Total;2018T3;19528.0
Both;Total;Total;2018T2;19344.1
Both;Total;Total;2018T1;18874.2
Both;Total;Total;2017T4;18998.4
Both;Total;Total;2017T3;19049.2
Both;Total;Total;2017T2;18813.3
Both;Total;Total;2017T1;18438.3
Both;Total;Total;2016T4;18508.1
Both;Total;Total;2016T3;18527.5
Both;Total;Total;2016T2;18301.0
Both;Total;Total;2016T1;18029.6
Both;Total;Total;2015T4;18094.2
Both;Total;Total;2015T3;18048.7
Both;Total;Total;2015T2;17866.5
Both;Total;Total;2015T1;17454.8
Both;Total;Total;2014T4;17569.1
Both;Total;Total;2014T3;17504.0
Both;Total;Total;2014T2;17353.0
Both;Total;Total;2014T1;16950.6
Both;Total;Total;2013T4;17135.2
Both;Total;Total;2013T3;17230.0
Both;Total;Total;2013T2;17160.6
Both;Total;Total;2013T1;17030.2
Both;Total;Total;2012T4;17339.4
Both;Total;Total;2012T3;17667.7
Both;Total;Total;2012T2;17758.5
Both;Total;Total;2012T1;17765.1
Both;Total;Total;2011T4;18153.0
Both;Total;Total;2011T3;18484.5
Both;Total;Total;2011T2;18622.0
Both;Total;Total;2011T1;18426.2
Both;Total;Total;2010T4;18674.9
Both;Total;Total;2010T3;18819.0
Both;Total;Total;2010T2;18751.1
Both;Total;Total;2010T1;18652.9
Both;Total;Total;2009T4;18890.4
Both;Total;Total;2009T3;19098.4
Both;Total;Total;2009T2;19154.2
Both;Total;Total;2009T1;19284.4
Both;Total;Total;2008T4;20055.3
Both;Total;Total;2008T3;20556.4
Both;Total;Total;2008T2;20646.9
Both;Total;Total;2008T1;20620.0
Both;Total;A1619;2023T3;211.4
Both;Total;A1619;2023T2;162.2
Both;Total;A1619;2023T1;137.3
Both;Total;A1619;2022T4;153.4
Both;Total;A1619;2022T3;181.9
Both;Total;A1619;2022T2;151.8
Both;Total;A1619;2022T1;142.0
Both;Total;A1619;2021T4;122.9
Both;Total;A1619;2021T3;184.5
Both;Total;A1619;2021T2;117.3
Both;Total;A1619;2021T1;80.7
Both;Total;A1619;2020T4;86.9
Both;Total;A1619;2020T3;118.3
Both;Total;A1619;2020T2;90.4
Both;Total;A1619;2020T1;129.9
Both;Total;A1619;2019T4;146.5
Both;Total;A1619;2019T3;178.6
Both;Total;A1619;2019T2;149.7
Both;Total;A1619;2019T1;127.0
Both;Total;A1619;2018T4;136.1
Both;Total;A1619;2018T3;165.5
Both;Total;A1619;2018T2;130.8
Both;Total;A1619;2018T1;103.7
Both;Total;A1619;2017T4;118.5
Both;Total;A1619;2017T3;147.8
Both;Total;A1619;2017T2;111.0
Both;Total;A1619;2017T1;94.5
Both;Total;A1619;2016T4;96.9
Both;Total;A1619;2016T3;121.2
Both;Total;A1619;2016T2;84.8
Both;Total;A1619;2016T1;80.4
Both;Total;A1619;2015T4;79.6
Both;Total;A1619;2015T3;105.8
Both;Total;A1619;2015T2;78.3
Both;Total;A1619;2015T1;71.6
Both;Total;A1619;2014T4;81.8
Both;Total;A1619;2014T3;91.6
Both;Total;A1619;2014T2;72.0
Both;Total;A1619;2014T1;72.1
Both;Total;A1619;2013T4;65.1
Both;Total;A1619;2013T3;89.9
Both;Total;A1619;2013T2;75.8
Both;Total;A1619;2013T1;66.6
Both;Total;A1619;2012T4;68.7
Both;Total;A1619;2012T3;94.8
Both;Total;A1619;2012T2;86.7
Both;Total;A1619;2012T1;85.8
Both;Total;A1619;2011T4;92.8
Both;Total;A1619;2011T3;156.2
Both;Total;A1619;2011T2;132.3
Both;Total;A1619;2011T1;115.0
Both;Total;A1619;2010T4;125.1
Both;Total;A1619;2010T3;164.0
Both;Total;A1619;2010T2;157.8
Both;Total;A1619;2010T1;158.9
Both;Total;A1619;2009T4;163.3
Both;Total;A1619;2009T3;228.4
Both;Total;A1619;2009T2;207.8
Both;Total;A1619;2009T1;218.0
Both;Total;A1619;2008T4;269.5
Both;Total;A1619;2008T3;371.3
Both;Total;A1619;2008T2;323.6
Both;Total;A1619;2008T1;352.3
Both;Total;A2024;2023T3;1132.8
Both;Total;A2024;2023T2;1043.5
Both;Total;A2024;2023T1;968.1
Both;Total;A2024;2022T4;968.6
Both;Total;A2024;2022T3;1019.3
Both;Total;A2024;2022T2;1022.3
Both;Total;A2024;2022T1;919.9
Both;Total;A2024;2021T4;898.7
Both;Total;A2024;2021T3;973.9
Both;Total;A2024;2021T2;841.5
Both;Total;A2024;2021T1;761.9
Both;Total;A2024;2020T4;766.9
Both;Total;A2024;2020T3;798.0
Both;Total;A2024;2020T2;687.6
Both;Total;A2024;2020T1;857.5
Both;Total;A2024;2019T4;907.4
Both;Total;A2024;2019T3;954.0
Both;Total;A2024;2019T2;872.1
Both;Total;A2024;2019T1;819.2
Both;Total;A2024;2018T4;860.7
Both;Total;A2024;2018T3;908.0
